,word,total_times,proportion,aver_ret
135,rezend,1,0.0,-0.0062486850990099
136,santangelo,2,1.0,0.02102332035890632
137,osi,37,0.6486486486486487,0.032682125266916585
138,activextend,2,0.0,-0.036528483751913865
139,tigress,37,0.5945945945945946,-0.0008748055478815461
140,delfzijl,1,0.0,-0.003239178798092266
141,garanti,10,0.4,-0.003595035529140221
142,altacorp,14,0.35714285714285715,-0.0023209465859209922
143,alitti,1,0.0,-0.04508531945454555
144,kristen,42,0.5,-0.003841358151815774
145,gloomasia,1,0.0,-0.014241946856056271
146,pctgoldman,1,0.0,-0.03752498049961512
147,systemverilog,1,0.0,-0.0020649486774281327
148,pom,1,0.0,-0.032456103065703505
149,raschell,1,0.0,-0.0011588652244991825
150,pubg,12,0.6666666666666666,0.023826255976185356
151,theresa,367,0.4768392370572207,-0.0015341591621242582
152,ptolemi,1,1.0,0.02418626294944759
153,mermov,1,1.0,0.0019103676918239207
154,grasim,2,0.0,-0.008183023259731305
155,metvix,1,1.0,0.02241364562068965
156,cema,2,0.5,0.0015614988051771872
157,amado,1,0.0,-0.006759274687235129
158,andor,1,1.0,0.005233459196671665
159,karaman,1,0.0,-0.0058818936640399186
160,chengdong,5,0.4,-0.006887969204064188
161,corteva,12,0.4166666666666667,-0.0053349889248101474
162,pop,257,0.48638132295719844,0.0038150363400432947
163,gestamp,5,0.6,0.006398800253898443
164,poorna,1,0.0,-0.0011784002244250276
165,perrett,1,0.0,-0.00516105598746471
166,ntm,10,0.7,0.10795546093426305
167,inscap,1,0.0,-0.027169334671031192
168,bidzina,3,0.0,-0.008124146714478385
169,restraint,34,0.35294117647058826,-0.004615636924498492
170,estimatesapparel,1,0.0,-0.106769384598691
171,pouchiti,1,0.0,-0.5988655281488008
172,itr,2,1.0,0.010848337082641313
173,ocd,1,0.0,-0.030822016830552003
174,warfel,1,0.0,-0.00010150639639631325
175,hover,222,0.4954954954954955,-0.0021632899270765155
176,higman,1,1.0,0.03839038812839056
177,uticra,1,0.0,-0.006351245611086753
178,locke,1,0.0,-0.00771575154626648
179,booti,5,0.4,-0.007672958334622807
180,haidilao,1,1.0,0.00479919295389505
181,pollster,9,0.5555555555555556,0.003785971436129771
182,valvitalia,2,1.0,0.012660255803990892
183,jardianc,21,0.7619047619047619,0.005464813272534237
184,palli,25,0.44,0.010214323257585025
185,haida,1,0.0,-0.015728310161740217
186,aranda,1,1.0,0.015605389705719331
187,agrochem,19,0.3684210526315789,-0.01128042027275769
188,requset,1,1.0,0.009365816179706344
189,sall,15,0.7333333333333333,0.001705860490251288
190,sentimentsoutheast,1,0.0,-0.025331299713463703
191,dxt,2,0.5,0.044156652917754065
192,sister,130,0.5230769230769231,-0.004245326168961954
193,vangaal,2,0.0,-0.011614025369367889
194,tsla,26,0.5,0.010823185217445432
195,wisekey,94,0.40425531914893614,0.007118674076552745
196,erik,92,0.44565217391304346,0.00639117398750423
197,erythropoiesi,1,1.0,0.01829940346594989
198,frenchman,23,0.5652173913043478,0.0019150568320532538
199,baldo,4,0.25,-0.0018212977361698561
200,parent,1808,0.514933628318584,0.0002047060187152586
201,booksel,19,0.42105263157894735,-0.006144951029837173
202,oxon,1,1.0,0.003033624538920879
203,singh,401,0.516209476309227,-0.0005355540306601744
204,meaning,616,0.5064935064935064,-0.0005036337007069894
205,billabl,3,1.0,0.055363078534333816
206,jasser,3,1.0,0.010818239880644865
207,youtubedown,1,0.0,-0.05830595133801191
208,eframovich,1,1.0,0.004821582056087644
209,cobe,1,0.0,-0.0073981668902059735
210,dongfang,4,0.5,-0.0030724698065018718
211,quanergi,3,0.3333333333333333,-0.02937391458329826
212,satorp,5,1.0,0.010006945469043793
213,roux,4,0.5,-0.0007738304459418633
214,chirpi,1,1.0,0.09086189590336356
215,trebor,1,1.0,0.01128816834831453
216,sokol,7,0.7142857142857143,0.013861759084109828
217,cardiomyopathi,18,0.5,0.008196947612873488
218,marketsid,2,0.0,-0.00627677534339475
219,indulg,16,0.5,0.017301483337505925
220,hyperzon,1,1.0,0.007108804185265977
221,taraji,1,0.0,-0.0054618114386021785
222,arnon,3,0.3333333333333333,-0.007101613317360357
223,ahsan,1,0.0,-0.07051083162713237
224,nuova,1,1.0,0.01782827339509435
225,oop,1,1.0,0.0019040726363635594
226,dumb,19,0.42105263157894735,-0.002142423217492033
227,circuit,842,0.5190023752969121,0.0006402584542105536
228,seba,44,0.4090909090909091,-0.0008288153421910996
229,goshawk,8,0.75,0.011474937905641663
230,pointserv,1,0.0,-0.01992481654432187
231,fdd,3,1.0,0.019184640219511453
232,norn,1,1.0,0.004316210239382344
233,phr,3,0.6666666666666666,0.005062390811121686
234,tiandi,1,1.0,0.010137097986719796
235,turboprop,54,0.5370370370370371,0.00019737254267683787
236,heartland,112,0.5,-0.0015835232113155624
237,salle,2,0.5,0.005256996247561286
238,handset,224,0.49107142857142855,0.00010235725431535687
239,primerica,7,0.2857142857142857,-0.015158119496240418
240,thyng,1,0.0,-0.0013329967598029713
241,aargau,2,0.5,-0.01384483692581823
242,sabo,4,0.25,-0.004245596980308262
243,fouracr,2,0.5,-0.0006966520799526822
244,twitterdown,1,1.0,0.004238606726708144
245,essenc,23,0.43478260869565216,-0.001372004649090934
246,roopal,28,0.5714285714285714,0.01658454163680344
247,sutur,2,1.0,0.16729273264872796
248,burnabi,11,0.5454545454545454,0.0022551114269187262
249,anthogyr,1,0.0,-0.002126871719008282
250,solver,2,0.0,-0.016521490662309273
251,sabahi,1,1.0,0.016262441234309696
252,sickl,34,0.7352941176470589,0.016302279367614504
253,grossli,23,0.43478260869565216,0.0004959362966788937
254,trash,22,0.5454545454545454,-0.00036953990487162565
255,pahuja,1,0.0,-0.005198925160358457
256,hohmeist,1,1.0,0.018359819800614588
257,addvantag,4,0.25,-0.017659596840714598
258,miat,1,1.0,0.013567859081214124
259,roskomsvoboda,1,1.0,0.024980162651262586
260,bangun,5,0.8,0.0030668998720439805
261,viesgo,2,0.5,-0.004184346645158016
262,foudi,2,0.5,-0.003395612383636797
263,search,1576,0.4600253807106599,-0.0053742422522951375
264,unbreak,3,0.6666666666666666,-0.004801757277483342
265,rania,24,0.5416666666666666,0.0008051554264171891
266,martullo,1,0.0,-0.013354940029702968
267,nji,1,1.0,0.0022152802711863802
268,fourier,3,0.3333333333333333,-0.03661558422969325
269,gibqu,1,1.0,0.001797753245670636
270,kore,1,0.0,-0.03796705922591366
271,rodriquez,1,1.0,0.0383021549144385
272,tici,1,1.0,0.007190397908053373
273,huangdao,2,1.0,0.00774382276328886
274,heer,1,1.0,0.04041381028620093
275,solairedirect,1,0.0,-0.007823555652987776
276,celulo,1,0.0,-0.005745901861068387
277,hernand,1,1.0,0.12383802484326716
278,hauptman,2,0.0,-0.009093391028037398
279,pettengil,1,0.0,-0.014883741892102457
280,hauter,1,1.0,0.006415803259965335
281,arnott,26,0.46153846153846156,0.005175390168821152
282,ceo,9676,0.48429102935097146,-0.001331956673294773
283,gellert,1,0.0,-0.1421615540232389
284,crbsi,1,1.0,0.07445079091402708
285,menomoni,4,0.25,-0.004446084674217372
286,bnm,2,0.0,-0.005127688310467487
287,gyu,6,0.5,-0.0012038585160737915
288,greenish,2,0.5,-0.01656330078881673
289,alnyalm,1,0.0,-0.010430624806234252
290,ivacaftor,16,0.6875,0.011016531034022333
291,cofound,3,0.3333333333333333,-0.003949002811225267
292,measur,3129,0.49344838606583574,-0.0002254219997437537
293,pfefferman,2,0.0,-0.009314746269702232
294,amedei,1,0.0,-0.004520980957520596
295,seguro,10,0.7,0.0008917289124423386
296,cherno,1,1.0,0.0003751133051608669
297,changeabl,2,1.0,0.00044635593424466704
298,hedgersedg,2,0.5,0.0006484550592507708
299,gaetani,1,1.0,0.008967981513918684
300,designit,1,0.0,-0.0110717417920434
301,defici,235,0.48936170212765956,-0.017467191091050837
302,chipmak,1288,0.5069875776397516,0.0006099022203130742
303,scholefield,1,1.0,0.046109507398002465
304,richmont,5,0.6,-0.05508625594057196
305,mzho,6,0.0,-0.05503388671301388
306,cryostor,4,0.25,-0.004028789197396448
307,royaldutchshellplc,2,1.0,0.010686281940496072
308,gdaxi,2,1.0,0.004665347121678788
309,tronic,12,0.6666666666666666,0.007078994059377311
310,gravley,1,0.0,-0.030250939744680964
311,placer,2,0.5,-0.014832175575156084
312,heftiest,6,0.8333333333333334,0.009442843515124538
313,hcu,9,0.7777777777777778,0.0065993142380713615
314,salsano,1,1.0,0.009461538446259538
315,jas,1,0.0,-0.004739894311655375
316,dainippon,4,0.75,0.030188585041539255
317,dat,2,1.0,0.011990388678437323
318,ammendola,1,0.0,-0.009140337524460241
319,attrit,66,0.45454545454545453,-0.0031501706605808837
320,buckeridg,2,1.0,0.009399355297570824
321,panico,2,1.0,0.002014565946725182
322,dreil,1,0.0,-0.01563068725048633
323,maridzuan,2,1.0,0.002368223717140349
324,xiv,11,0.6363636363636364,0.0005995390616152806
325,ivestama,1,0.0,-0.029419318971659832
326,dominguez,6,0.3333333333333333,0.0012098935781150427
327,home,4195,0.48128724672228845,-0.001007718369659272
328,huarui,1,1.0,0.010137097986719796
329,benign,90,0.4777777777777778,-0.003944619743417929
330,unga,5,0.2,-0.011224910224349847
331,takeb,1,0.0,-0.009547678541381934
332,chlm,1,0.0,-0.006162317836734715
333,shipbuild,78,0.5256410256410257,0.011569077276074903
334,ultradeep,1,0.0,-0.03091932268372556
335,ikuta,2,0.0,-0.0055310581241060286
336,afap,1,0.0,-0.050083951476424665
337,desravin,1,1.0,0.011250029888888841
338,centrica,75,0.5066666666666667,0.0034963590189475814
339,bock,10,0.4,0.0015042396394101872
340,releg,23,0.391304347826087,-0.0062164812787188
341,skil,1,0.0,-0.031267264682224384
342,goldex,1,1.0,0.0359350920472675
343,khor,1,0.0,-0.003334979874663729
344,mbd,4,0.5,-0.002233779096850628
345,togo,3,0.0,-0.02006146073755874
346,analogu,28,0.5357142857142857,-0.01657750948729385
347,legalzoom,1,1.0,0.0007463830042508997
348,phaseout,1,0.0,-0.005654949185105257
349,teas,17,0.5294117647058824,0.00810821326078149
350,danhua,1,0.0,-0.0062133028763542006
351,arisawa,2,0.0,-0.00811879354187224
352,shuqe,2,0.5,-0.0007468841921691306
353,ube,4,0.75,0.004260655754878873
354,woodstov,2,0.0,-0.013335033251400176
355,albstadt,2,0.0,-0.050639184675138435
356,westlak,30,0.5666666666666667,-0.002258528591534037
357,seymour,8,0.25,-0.00018983702365683159
358,bainbridg,2,0.0,-0.005115288160285508
359,ccepc,3,0.0,-0.025034311125961134
360,bkp,1,0.0,-0.0026561855703401485
361,agv,1,0.0,-0.010381899669384928
362,textur,35,0.2571428571428571,-0.0031667335676050282
363,washburn,3,0.0,-0.008181642967984607
364,nagato,2,1.0,0.0029376987848744535
365,faiveley,5,0.4,-0.008952431162704687
366,otkriti,6,0.6666666666666666,0.004770705997189261
367,zirin,1,1.0,0.008353645307968166
368,huomei,1,1.0,0.001531281048830154
369,jim,607,0.4744645799011532,-0.0009755998259374302
370,hughesu,5,0.6,0.023201226496969155
371,hallead,1,1.0,0.023303701362516624
372,maredia,1,0.0,-0.007165774041585167
373,nakashima,1,1.0,0.10289737061202194
374,ahmedabad,9,0.5555555555555556,0.002355358588847497
375,cmg,4,0.25,0.025363491455719693
376,kazunori,3,0.0,-0.007317297468913596
377,dent,394,0.44923857868020306,-0.0024219171725952168
378,husnick,5,0.6,0.0002748046115966001
379,hypnot,1,0.0,-0.05061104004584915
380,onesav,7,0.2857142857142857,-0.002841211264242766
381,kushel,3,0.3333333333333333,0.00265479698884067
382,mcgrathnicol,2,0.0,-0.001808180264867329
383,ffg,1,1.0,0.0007377915185144794
384,irap,1,1.0,0.004290312281749001
385,foggia,1,0.0,-0.0022988172020203088
386,ncmec,2,0.5,-0.004111746972372234
387,antalffi,5,0.6,0.00019023902248506975
388,apto,1,0.0,-0.18051598187022894
389,peet,6,0.5,-0.0006127083601397328
390,noctua,1,1.0,0.01754385964912276
391,botin,42,0.5,0.001044059788719878
392,viloria,1,1.0,0.008259728446436436
393,gansu,4,0.0,-0.03744252125963688
394,mbizwo,1,1.0,0.0058630213206865706
395,mizuno,1,0.0,-0.0007260291057866447
396,edgi,11,0.36363636363636365,-0.004568435161650155
397,facioscapulohumer,2,1.0,0.01571435397012924
398,larga,1,1.0,0.00746715592607168
399,earphon,5,0.2,-0.02674526160849299
400,jieyi,1,1.0,0.0025058615252232033
401,accruent,2,1.0,0.024331571940438848
402,exwork,2,0.0,-0.00991750536349774
403,pushkala,89,0.48314606741573035,-0.002658472773830845
